R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
41,,Piti,Rayo Vallecano,AM(LR),33(2),18,2,8,-,3.2,69.7,0.9,4,7.12
43,,Federico Fazio,Sevilla,"D(C),DM(C)",25(1),3,-,5,2,1.2,80.1,3.5,-,7.11
44,,Nacho,Real Betis,D(L),26(4),-,6,11,-,0.1,74.8,1.6,1,7.11
42,,Alexandre Song,Barcelona,"D(C),DM(C)",17(3),1,-,3,-,0.2,92.7,1.7,-,7.11
45,,Antoine Griezmann,Real Sociedad,AM(LR),32(2),10,3,8,-,2.7,80.7,0.9,4,7.1
46,,Jérémy Toulalan,Malaga,"D(C),DM(C)",18(1),-,-,5,-,0.8,80.9,1.5,1,7.1
47,,Weligton,Malaga,D(C),33,2,1,10,-,0.6,80.1,2.5,1,7.1
48,,Ander,Athletic Bilbao,M(CL),29,1,2,10,2,1.9,80.9,0.7,2,7.09
49,,Thiago Alcántara,Barcelona,M(C),15(12),2,5,4,-,0.6,91.8,0.7,1,7.07
50,,Xabi Prieto,Real Sociedad,AM(CR),33(2),9,3,2,-,1.1,80.7,2.7,1,7.07
51,,Dani Hernández,Valladolid,GK,24,-,-,1,-,-,50.2,0.8,2,7.06
52,,Gerard Piqué,Barcelona,D(C),27(1),2,-,4,1,0.5,91.1,1.6,-,7.06
53,,Giovani dos Santos,Mallorca,"AM(CLR),FW",27(2),6,7,4,-,2.4,82.1,0.1,4,7.06
54,,Manucho,Valladolid,FW,19(6),8,3,3,1,1.8,60.5,6.7,2,7.06
55,,Javi López,Espanyol,"D(R),DM(C)",28(4),1,-,8,1,0.4,63.6,1.2,2,7.05
56,,Abdel Barrada,Getafe,AM(CLR),30(2),4,6,4,1,1.3,75,1.4,4,7.04
57,,Alberto De la Bella,Real Sociedad,D(L),36,3,2,7,-,0.6,79.9,1.3,1,7.04
58,,Rubén Castro,Real Betis,"AM(CLR),FW",32(2),18,7,3,-,2.3,76,0.3,3,7.04
59,,Abel Aguilar,Deportivo La Coruna,M(CR),27(1),3,3,12,1,1.5,81.8,2.5,-,7.03
60,,Alexis Sánchez,Barcelona,"AM(CLR),FW",18(11),8,9,4,-,1.1,80.3,0.6,1,7.03
