R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
1,,Lionel Messi,Barcelona,"AM(R),FW",28(4),46,12,1,-,5.1,85.2,0.2,20,8.85
2,,Cristiano Ronaldo,Real Madrid,"AM(LR),FW",30(4),34,10,9,-,6.9,76.8,1.6,11,8.18
3,,Carlos Martínez,Real Sociedad,D(R),29,1,4,4,-,0.3,76.5,1.9,6,7.54
4,,Patrick Ebert,Valladolid,AM(R),22(1),6,7,4,-,3,73.2,1.7,4,7.46
5,,Sergio Ramos,Real Madrid,D(CR),26,4,-,8,1,1.4,84.6,3.5,-,7.43
6,,Francesc Fábregas,Barcelona,"M(CLR),FW",30(2),11,11,7,-,1.6,88.6,0.5,2,7.41
7,,Mesut Özil,Real Madrid,AM(CLR),23(9),9,13,5,-,0.9,84.1,0.2,1,7.41
8,,Andrés Iniesta,Barcelona,AM(CLR),24(7),3,16,4,-,1.1,90.5,-,3,7.38
9,,Carlos Vela,Real Sociedad,"AM(CLR),FW",32(3),14,9,10,-,2.9,77.5,0.6,3,7.38
10,,Ivan Rakitic,Sevilla,M(C),34,8,10,8,2,1.8,78.7,1,4,7.38
11,,Diego Godín,Atletico Madrid,D(C),35,1,2,10,-,0.9,78.6,2.9,5,7.31
12,,Emiliano Armenteros,Osasuna,AM(CLR),30,3,5,11,1,2.5,70.3,1.8,3,7.31
13,,Álvaro Negredo,Sevilla,FW,34(2),25,1,3,-,4.2,64.1,3.6,5,7.3
14,,Xabi Alonso,Real Madrid,DM(C),22(6),-,5,11,-,0.4,83,2.1,2,7.29
15,,Koke,Atletico Madrid,AM(CLR),29(4),3,9,5,-,1.4,81.2,0.4,3,7.28
16,,Damiá,Osasuna,"D(LR),M(R)",29,-,1,15,-,0.4,72.3,3.5,2,7.27
17,,Diego Mainz,Granada,D(C),26(1),1,-,2,-,0.3,82.3,4.1,3,7.24
18,,Emir Spahic,Sevilla,D(C),22,1,-,10,-,0.5,81.7,3.5,1,7.24
19,,Falcao,Atletico Madrid,FW,34,28,1,7,-,3.6,79.9,2.2,3,7.24
20,,Gabi,Atletico Madrid,DM(C),34(1),-,3,10,1,0.6,78.5,0.9,3,7.23
