R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
141,,Paco Montañés,Zaragoza,AM(L),38,5,1,3,-,1.4,78.9,0.7,1,6.82
143,,Sami Khedira,Real Madrid,DM(C),19(6),3,2,5,-,0.8,81.7,1,-,6.82
144,,Sergio García,Espanyol,"AM(R),FW",27(1),7,5,4,1,2.1,65.4,0.4,2,6.82
145,,Thibaut Courtois,Atletico Madrid,GK,37,-,-,2,-,-,47.3,0.2,2,6.82
146,,Tomer Hemed,Mallorca,FW,28(9),11,1,4,-,2.6,67.1,4,2,6.82
142,,Javi Fuego,Rayo Vallecano,DM(C),36,-,1,14,-,0.5,82.7,1.6,-,6.82
147,,Borja Ekiza,Athletic Bilbao,D(C),23(1),-,-,3,-,0.1,88.5,1.3,-,6.81
148,,Gustavo Munúa,Levante,GK,29,-,1,3,-,-,33.4,0.3,3,6.81
149,,Henrique Sereno,Valladolid,D(CR),19(1),1,-,5,1,0.4,73.4,2.5,-,6.81
150,,Javier Mascherano,Barcelona,"D(C),DM(C)",21(4),-,-,2,1,0.1,90.1,1.3,-,6.81
151,,Bruno Gama,Deportivo La Coruna,AM(R),38,6,6,4,-,1.5,80,0.3,2,6.8
152,,Claudio Bravo,Real Sociedad,GK,31,-,-,-,-,-,55.6,0.3,1,6.8
153,,Jesús Rueda,Valladolid,D(C),26(2),-,-,3,-,0.1,81.1,1.4,-,6.8
154,,Juan Forlín,Espanyol,"D(C),DM(C)",32(1),-,-,16,1,0.3,72.6,3.2,-,6.8
155,,Markel Bergara,Real Sociedad,DM(C),27(1),-,-,7,1,0.3,86.2,1.5,1,6.8
156,,Óscar,Valladolid,AM(C),33(2),12,7,6,-,1.5,80.4,0.6,2,6.8
157,,Diego Alves,Valencia,GK,24,-,-,-,-,-,51.3,0.4,2,6.79
158,,Gonzalo Castro,Real Sociedad,AM(CLR),13(18),7,4,3,-,1.7,79.7,0.3,2,6.79
159,,Marc Bertrán,Osasuna,D(R),20(3),-,-,8,-,0.3,70.3,1.1,-,6.79
160,,Marc Valiente,Valladolid,D(C),28,-,1,4,-,0.3,85.4,1.9,1,6.79
