R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
121,,Nyom,Granada,D(R),35,-,3,9,-,0.5,70.8,0.7,-,6.88
123,,Borja Oubiña,Celta Vigo,DM(C),36,1,-,9,-,0.6,82.3,1.5,1,6.88
124,,Carlos Gurpegi,Athletic Bilbao,"D(C),M(CR)",24(3),1,-,14,-,0.2,85.9,2.1,1,6.88
125,,Jorge Molina,Real Betis,FW,22(10),13,2,3,-,1.8,69.6,1.9,3,6.88
126,,Oier,Osasuna,"D(LR),M(C)",25(6),-,-,11,-,1.1,68.4,2.4,-,6.88
122,,Augusto Fernández,Celta Vigo,AM(LR),36,6,5,9,1,1.6,78.5,1,-,6.88
127,,Toño,Granada,GK,24,-,-,3,-,-,38.2,0.5,1,6.87
128,,Gary Medel,Sevilla,DM(C),31(1),6,3,7,3,1,87.5,0.9,1,6.87
129,,Pape Diop,Levante,DM(C),32,-,-,10,1,0.7,71.4,1.5,-,6.87
130,,Juan Valera,Getafe,D(R),30,2,-,8,-,0.5,70.1,3.6,-,6.86
131,,Lolo,Osasuna,"D(C),DM(C)",17(5),1,2,6,-,1,67,2.6,2,6.86
132,,Roberto Lago,Celta Vigo,D(L),32(2),-,3,11,-,0.4,78.4,0.8,-,6.86
133,,Sofiane Feghouli,Valencia,AM(LR),23(4),3,6,7,1,1.1,78.5,0.9,2,6.86
134,,Cicinho,Sevilla,D(R),19(8),1,2,5,-,0.6,79.8,0.2,2,6.85
135,,Álvaro Cejudo,Osasuna,AM(R),25(7),3,5,3,-,2.1,65.6,0.8,1,6.84
136,,Andrés,Osasuna,GK,37,-,-,2,-,-,44.4,0.4,2,6.84
137,,Tomás Pina,Mallorca,DM(C),34(2),-,1,9,-,0.6,77.9,1.9,-,6.84
138,,Willy Caballero,Malaga,GK,36,-,-,3,-,-,58.7,0.3,2,6.84
139,,Álvaro González,Zaragoza,D(CR),33,1,-,12,2,0.6,70.2,2.3,-,6.82
140,,Aly Cissokho,Valencia,D(L),18(7),2,2,6,1,0.4,79.2,1.4,1,6.82
