R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
21,,Roberto Soldado,Valencia,FW,33(2),24,4,9,-,2.9,74.5,1.1,2,7.22
22,,Gonzalo Higuaín,Real Madrid,"AM(R),FW",19(9),16,5,3,1,2,74.8,0.9,3,7.2
23,,Filipe Luis,Atletico Madrid,D(L),32,1,2,7,-,0.7,80.9,0.9,-,7.19
24,,Sergio Busquets,Barcelona,"D(C),DM(C)",25(6),1,2,9,-,-,92.2,1.5,1,7.19
25,,Asier Illarramendi,Real Sociedad,DM(C),32,-,2,11,-,0.8,80.7,1.6,1,7.18
26,,Karim Benzema,Real Madrid,"AM(LR),FW",19(11),11,11,-,-,2.1,79.2,0.9,1,7.18
27,,Luka Modric,Real Madrid,M(CL),25(8),3,3,7,-,1,87.7,0.4,1,7.16
28,,Martín Demichelis,Malaga,"D(C),DM(C)",31,4,-,9,2,0.5,83.5,2.5,3,7.16
29,,Xavi,Barcelona,M(C),24(6),5,8,-,-,1.1,94.8,0.1,-,7.16
30,,Markel Susaeta,Athletic Bilbao,AM(CR),36,7,7,7,1,1.7,78.5,0.4,3,7.15
31,,Pedro,Barcelona,AM(LR),23(5),7,6,3,-,1.5,90,0.2,1,7.15
32,,Geromel,Mallorca,D(C),29(1),1,-,11,-,0.4,79.2,2.2,3,7.15
33,,Dani Alves,Barcelona,D(CR),26(4),-,6,2,-,0.8,86.1,0.8,2,7.14
34,,Éver Banega,Valencia,M(C),22(7),4,4,7,-,1.6,82.7,0.2,2,7.14
35,,Adriano,Barcelona,"D(CLR),M(LR)",18(5),5,1,3,-,0.7,90.6,1.1,2,7.13
36,,Iago Aspas,Celta Vigo,"AM(C),FW",34,12,7,4,1,3,77.3,0.7,4,7.13
37,,Jordi Alba,Barcelona,"D(L),M(L)",27(2),2,5,3,-,0.2,89.5,0.8,-,7.13
38,,Pizzi,Deportivo La Coruna,AM(CL),35,8,6,5,1,2.5,80.9,0.3,2,7.13
39,,Pedro León,Getafe,AM(R),26(3),3,7,4,1,2.6,69.1,0.4,3,7.13
40,,Cristian Tello,Barcelona,AM(LR),12(10),7,4,-,-,1.5,84.8,0.1,-,7.12
