R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
221,,Pedro Bigas,Mallorca,D(CL),24,1,1,7,-,0.4,73.4,1.5,-,6.62
223,,Víctor Rodríguez,Zaragoza,AM(CR),26(7),1,7,3,-,1.3,81.3,0.3,1,6.62
222,,Tito,Rayo Vallecano,D(R),31(2),1,1,9,-,0.5,75.2,1.2,-,6.62
224,,Alejandro Domínguez,Rayo Vallecano,"AM(C),FW",32(1),5,5,12,-,1.8,76.6,0.1,1,6.61
225,,Dudu Aouate,Mallorca,GK,35,-,1,2,-,-,46.1,0.5,-,6.61
226,,Javi Guerra,Valladolid,FW,17(13),8,-,4,-,1.2,78.6,2.1,1,6.61
227,,Zé Castro,Deportivo La Coruna,D(C),20(4),-,-,4,-,0.5,79.8,1.5,-,6.61
228,,Álvaro Rubio,Valladolid,DM(C),34(1),-,2,8,-,0.4,84.9,1,-,6.6
229,,Víctor Ruiz,Valencia,D(C),17(9),-,2,7,-,0.2,86.9,1.3,1,6.6
230,,Xavi Torres,Getafe,DM(C),32(3),-,2,7,-,0.7,80.2,0.8,-,6.6
231,,Martí,Mallorca,DM(C),18(11),1,1,9,-,0.6,74.4,0.4,-,6.59
232,,Juan Carlos Valerón,Deportivo La Coruna,AM(C),28(5),1,8,2,-,0.4,82.7,1.1,-,6.59
233,,Ballesteros,Levante,D(C),26,-,1,10,-,0.2,64.6,1,-,6.58
234,,Cristian Rodríguez,Atletico Madrid,AM(L),12(21),1,1,2,-,1.2,78.1,0.7,-,6.57
235,,Daniel Aranzubia,Deportivo La Coruna,GK,35,-,-,3,1,-,45.6,0.3,1,6.57
236,,Iker Casillas,Real Madrid,GK,18(1),-,-,1,-,-,61,0.1,-,6.57
237,,Ángel Lafita,Getafe,"AM(CLR),FW",17(9),2,-,5,-,1.8,69,1.7,-,6.56
238,,Manuel Iturra,Malaga,DM(C),15(10),-,-,9,-,-,82.1,0.9,-,6.56
239,,Pedro Ríos,Levante,AM(CR),15(10),2,1,4,-,1,64,1,-,6.56
240,,Emilio Nsue,Mallorca,"D(R),M(CLR)",25(7),2,3,2,1,0.8,74.4,1.6,-,6.55
