R,*[2],Name,Team,Pos,Apps,Goal,A,Yel,Red,SpG,PS%,AW,MoM,Rt
61,,Jesús Navas,Sevilla,AM(CR),37,-,6,5,-,2.2,80.1,0.3,-,7.03
63,,Arda Turan,Atletico Madrid,AM(CLR),26(6),5,4,7,-,1.3,84.1,0.4,1,7.02
64,,Daniel Parejo,Valencia,M(C),20(7),1,3,10,-,0.9,84.9,1.3,-,7.02
65,,Miranda,Atletico Madrid,D(C),35,2,3,9,1,0.6,70.3,1.9,1,7.02
66,,Roberto Trashorras,Rayo Vallecano,M(CR),31(4),1,4,6,-,1.5,85.4,0.3,1,7.02
62,,Álvaro Arbeloa,Real Madrid,D(LR),25(1),-,2,6,-,0.2,86.7,1.6,1,7.02
67,,Antonio Amaya,Real Betis,D(C),26(2),-,-,7,-,0.4,77.9,3.4,-,7.01
68,,José Antonio Reyes,Sevilla,AM(CLR),20(6),4,6,2,1,1.5,77,0.6,1,7.01
69,,Pepe,Real Madrid,"D(C),DM(C)",26(2),1,1,7,-,0.7,78.1,1.9,-,7.01
70,,Víctor Sánchez,Espanyol,"D(R),M(C)",33,1,1,17,1,0.8,75.1,2,1,7.01
71,,Jesús Gámez,Malaga,D(CR),28,-,1,8,-,0.4,77.9,1,2,7
72,,Mario Suárez,Atletico Madrid,DM(C),23(6),1,1,8,2,0.5,79.8,2.2,1,7
73,,Vicente Iborra,Levante,DM(C),35,4,1,12,1,1,74,2.5,2,7
74,,Alejandro Arribas,Osasuna,D(C),32(2),2,-,9,4,0.6,69.2,2.7,3,6.99
75,,Casado,Rayo Vallecano,D(L),28,-,4,11,1,0.5,74.4,1.1,3,6.99
76,,Mikel González,Real Sociedad,D(CL),34,2,1,10,-,0.3,80.7,1.6,-,6.99
77,,Víctor,Mallorca,"AM(C),FW",31(2),8,5,7,-,2.1,69.9,3.2,3,6.99
78,,Gorka Iraizoz,Athletic Bilbao,GK,35,-,-,4,-,-,65.5,0.5,1,6.98
79,,Ignacio Camacho,Malaga,DM(C),30(3),2,-,13,1,0.8,80.2,2.4,3,6.98
80,,Jonas,Valencia,"AM(CLR),FW",30(5),13,3,5,2,2.3,74.8,1.5,-,6.98
